book_id,title,author,出版社,出版时间,数,价格,ISBM,评分,评论数量,user_id
4137,印度古诗选,None, 湖南人民出版社, 1984/1,165, 0.85/1.45,None,8.7,40,15494
4138,恰尔德·哈洛尔德游记,拜伦, 新文艺出版社, 1956/7,272, 0.85/1.30,None,8.9,54,15547
4139,雨滴项链,(英)琼·艾肯, 新蕾出版社,1983,71, 0.40.,None,9,239,15604
4140,七色花,(苏)卡泰耶夫, 少年儿童出版社,1981,22, 0.13.,None,8.7,2544,16569
4141,Maison Martin Margiela,various, Modenatie,2008,120," �39,90",9.79E+12,8.5,82,17228
4142,Turning Pages,R. Klanten, Die Gestalten Verlag,2019,272," � 49,90 / 78,00 / ￡ 45,00",9.78E+12,9.1,32,17434
4143,Data Flow,R. Klanten, gestalten,2008,256," � 49,90 / 78,00 / ￡ 37,50",9.78E+12,8.8,156,17566
4144,Data Flow,R. Klanten, gestalten,2008,256," � 49,90 / 78,00 / ￡ 37,50",9.78E+12,8.8,156,17643
4145,Papercraft,R. Klanten, Die Gestalten Verlag,2009,256," � 44,00 / 65,00 / ￡ 40,00",9.78E+12,8.4,32,18313
4146,Wim Wenders,Wim Wenders, Hatje Cantz Verlag, 2011/7,124," � 24.80, $40.00, ￡22.99",9.78E+12,8.7,33,18798
4147,Fate／Zero（1） 第四次聖杯戦争秘話,虚淵 玄著, 講談社, 2011/1,256,714,9.78E+12,9.2,101,18857
4148,设计人&手工达人必备的 1272个森林动物图案（全彩）含DVD光盘,Tsuchinoko（野槌蛇）, 电子工业出版社, 2014/4,175,69.8,9.79E+12,7.2,14,19724
4149,机器人战争,P. W. 辛格（P. W. Singer）, 华中科技大学出版社, 2016/8,436,68,9.79E+12,0,None,19729
4150,卒業生?冬? ＥＤＧＥＣＯＭＩＸ,中村明日美子, 茜新社,2010,171, ￥650 （本体：￥619）,9.78E+12,9.5,2178,19942
4151,卒業生?春?  ＥＤＧＥＣＯＭＩＸ,中村明日美子, 茜新社, 2010/1,None, ￥650 （本体 ： ￥619）,9.78E+12,9.5,2309,20967
4152,三千世界の鴉を殺し〈14〉 (ウィングス文庫),津守時生, 新書館,2008,220, ￥609 （本体 ： ￥580）,9.78E+12,9.1,79,21217
4153,義兄 明治艶曼荼羅,丸木文華, フランス書院, 2011/3/5,258,560,9.78E+12,6.8,46,21228
4154,Web Designer Idea,梁景红, 电子工业出版社, 2006/,237,55,9.79E+12,7.4,82,21487
4155,清末民初政情内幕（上、下）,【澳】乔.厄.莫里循 著, 知识出版社（上海）,1986, 986+905, ￥5.75+￥5.25,9.78E+12,7.7,12,21676
